frame_id,posicao,score,camera_id,camera_name,posicao_na_galeria,captured_at,r2_key,visibilidade,densidade,contexto,n_pessoas,n_anotaveis,altura_max_px,rajada,dup_rajada,acima_da_cota,criterio
511851f1-f13a-49f3-aecc-4a75ed30748c,1,0.9962,c130d032-4a3a-4d09-ac77-c3121a03a6a7,Espaço de convivência,82,2026-09-01T13:00:02+00:00,training-images/63c219d8-fbef-4f3c-a7c9-058c742482e2/nvr/e0c906a9-1b0a-4f3e-b299-715202e28b08/4198a264-f506-4d6d-a13b-449a4a792341.jpg,1.0000,0.9848,1.0000,12,7,546,64,nao,nao,vis0.55+den0.25+ctx0.2
bf563947-51a8-41f7-bb22-dbaf0ff57b40,2,0.9874,c130d032-4a3a-4d09-ac77-c3121a03a6a7,Espaço de convivência,77,2026-09-01T13:40:05.500000+00:00,training-images/63c219d8-fbef-4f3c-a7c9-058c742482e2/nvr/e0c906a9-1b0a-4f3e-b299-715202e28b08/137322f6-f8bb-43ec-82e9-2ec889a9869b.jpg,1.0000,0.9497,1.0000,7,5,543,66,nao,nao,vis0.55+den0.25+ctx0.2
156cc3cd-fef4-4cb6-8fda-f6931c1dfcac,3,0.9584,c130d032-4a3a-4d09-ac77-c3121a03a6a7,Espaço de convivência,87,2026-09-01T12:20:04.500000+00:00,training-images/63c219d8-fbef-4f3c-a7c9-058c742482e2/nvr/e0c906a9-1b0a-4f3e-b299-715202e28b08/ea476dbc-4685-49b9-a75d-19d44fbc1999.jpg,1.0000,0.8336,1.0000,6,3,458,63,nao,nao,vis0.55+den0.25+ctx0.2
b14ccf79-c824-4f57-a4ba-727980ff83f0,4,0.9397,c130d032-4a3a-4d09-ac77-c3121a03a6a7,Espaço de convivência,75,2026-09-01T14:20:00.500000+00:00,training-images/63c219d8-fbef-4f3c-a7c9-058c742482e2/nvr/e0c906a9-1b0a-4f3e-b299-715202e28b08/4cd53fb8-47ae-42e4-a611-510d6b69eca7.jpg,1.0000,0.9986,0.7000,13,11,577,67,nao,nao,vis0.55+den0.25+ctx0.2
48de1bd9-c736-4959-afb8-c166aa046bb7,5,0.9362,c130d032-4a3a-4d09-ac77-c3121a03a6a7,Espaço de convivência,19,2026-09-02T14:20:00+00:00,training-images/63c219d8-fbef-4f3c-a7c9-058c742482e2/nvr/e0c906a9-1b0a-4f3e-b299-715202e28b08/70b75742-cd9b-42da-9be2-f92858fd1a1a.jpg,1.0000,0.9848,0.7000,11,7,453,80,nao,nao,vis0.55+den0.25+ctx0.2
1ee8e2b5-379d-44d3-a640-0f2daba65dfc,6,0.9307,c130d032-4a3a-4d09-ac77-c3121a03a6a7,Espaço de convivência,79,2026-09-01T13:40:00+00:00,training-images/63c219d8-fbef-4f3c-a7c9-058c742482e2/nvr/e0c906a9-1b0a-4f3e-b299-715202e28b08/2bc8a7c0-08cc-4a21-a07e-e0fb1aa124a7.jpg,0.8810,0.9848,1.0000,11,7,370,65,nao,nao,vis0.55+den0.25+ctx0.2
49d12bc2-6423-4273-a416-09b28b7be486,7,0.8904,7abbe027-85e3-474e-a273-8c06e485cf2d,Entrada Usinagem Madeira 2,101,2026-09-01T11:40:04.500000+00:00,training-images/63c219d8-fbef-4f3c-a7c9-058c742482e2/nvr/e0c906a9-1b0a-4f3e-b299-715202e28b08/e5f71105-92dc-45c0-b1fe-9b9d11d5536d.jpg,0.9690,0.9497,0.6000,5,5,407,15,nao,nao,vis0.55+den0.25+ctx0.2
54907eda-997a-4b90-afa6-d4d204286b17,8,0.8784,7abbe027-85e3-474e-a273-8c06e485cf2d,Entrada Usinagem Madeira 2,6,2026-09-02T16:20:00+00:00,training-images/63c219d8-fbef-4f3c-a7c9-058c742482e2/nvr/e0c906a9-1b0a-4f3e-b299-715202e28b08/e83a2dad-2e16-43ea-bad2-3f11bde0be4c.jpg,1.0000,0.8336,0.6000,6,3,543,32,nao,nao,vis0.55+den0.25+ctx0.2
ad60941b-6be3-4d13-aa50-abbeee909d43,9,0.8784,80bad150-7315-4706-b606-e5d356467ae4,Entrada Preparação,10,2026-09-01T11:40:00+00:00,training-images/63c219d8-fbef-4f3c-a7c9-058c742482e2/nvr/e0c906a9-1b0a-4f3e-b299-715202e28b08/c375d797-63e8-44e9-8cb2-76ca668282e5.jpg,1.0000,0.8336,0.6000,4,3,630,35,nao,nao,vis0.55+den0.25+ctx0.2
cf1b113c-7b2e-4be6-af2e-1dde00c7f778,10,0.8784,eb1501db-82ad-485a-a441-5c665b4e5a28,Entrada Expedição,17,2026-09-01T07:40:02.500000+00:00,training-images/63c219d8-fbef-4f3c-a7c9-058c742482e2/nvr/e0c906a9-1b0a-4f3e-b299-715202e28b08/eaa116cb-96c4-4883-b077-9aceef104e78.jpg,1.0000,0.8336,0.6000,4,3,732,82,nao,nao,vis0.55+den0.25+ctx0.2
